COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
Stanislaus,2016,Race/ethnicity,White,All ages,78,4.1,
Sutter,2016,Race/ethnicity,White,All ages,11,,Rate not available due to statistical instability
Tehama,2016,Race/ethnicity,White,All ages,21,5.3,
Trinity,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Race/ethnicity,White,All ages,61,4.9,
Tuolumne,2016,Race/ethnicity,White,All ages,19,4.6,
Ventura,2016,Race/ethnicity,White,All ages,99,3,
Yolo,2016,Race/ethnicity,White,All ages,21,2.4,
Yuba,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,Black,All ages,"3,450",16.5,
Alameda,2016,Race/ethnicity,Black,All ages,312,18.5,
Alpine,2016,Race/ethnicity,Black,All ages,0,0,
Amador,2016,Race/ethnicity,Black,All ages,0,0,
Butte,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Race/ethnicity,Black,All ages,0,0,
Colusa,2016,Race/ethnicity,Black,All ages,0,0,
Contra Costa,2016,Race/ethnicity,Black,All ages,161,17.1,
Del Norte,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2016,Race/ethnicity,Black,All ages,134,26.7,
Glenn,2016,Race/ethnicity,Black,All ages,0,0,
Humboldt,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2016,Race/ethnicity,Black,All ages,0,0,
Kern,2016,Race/ethnicity,Black,All ages,78,15.6,
Kings,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Race/ethnicity,Black,All ages,0,0,
Los Angeles,2016,Race/ethnicity,Black,All ages,"1,331",17.2,
Madera,2016,Race/ethnicity,Black,All ages,12,52.6,
Marin,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Race/ethnicity,Black,All ages,0,0,
Mendocino,2016,Race/ethnicity,Black,All ages,0,0,
Merced,2016,Race/ethnicity,Black,All ages,20,25,
Modoc,2016,Race/ethnicity,Black,All ages,0,0,
Mono,2016,Race/ethnicity,Black,All ages,0,0,
Monterey,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Race/ethnicity,Black,All ages,0,0,
Orange,2016,Race/ethnicity,Black,All ages,47,11.5,
Placer,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2016,Race/ethnicity,Black,All ages,0,0,
Riverside,2016,Race/ethnicity,Black,All ages,162,12.7,
Sacramento,2016,Race/ethnicity,Black,All ages,277,19.5,
San Benito,2016,Race/ethnicity,Black,All ages,0,0,
San Bernardino,2016,Race/ethnicity,Black,All ages,268,14.8,
San Diego,2016,Race/ethnicity,Black,All ages,194,12.6,
San Francisco,2016,Race/ethnicity,Black,All ages,97,28.5,
San Joaquin,2016,Race/ethnicity,Black,All ages,76,14.7,
San Luis Obispo,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2016,Race/ethnicity,Black,All ages,24,12.6,
Santa Barbara,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2016,Race/ethnicity,Black,All ages,47,10.3,
Santa Cruz,2016,Race/ethnicity,Black,All ages,0,0,
Shasta,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Race/ethnicity,Black,All ages,0,0,
Siskiyou,2016,Race/ethnicity,Black,All ages,0,0,
Solano,2016,Race/ethnicity,Black,All ages,53,9.4,
Sonoma,2016,Race/ethnicity,Black,All ages,13,21.2,
Stanislaus,2016,Race/ethnicity,Black,All ages,18,11.9,
Sutter,2016,Race/ethnicity,Black,All ages,0,0,
Tehama,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Race/ethnicity,Black,All ages,0,0,
Tulare,2016,Race/ethnicity,Black,All ages,18,35.1,
Tuolumne,2016,Race/ethnicity,Black,All ages,0,0,
Ventura,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2016,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,Hispanic,All ages,"7,136",4.6,
Alameda,2016,Race/ethnicity,Hispanic,All ages,200,5,
Alpine,2016,Race/ethnicity,Hispanic,All ages,0,0,
Amador,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Race/ethnicity,Hispanic,All ages,178,6.4,
Del Norte,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2016,Race/ethnicity,Hispanic,All ages,402,6.7,
Glenn,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Race/ethnicity,Hispanic,All ages,112,6.6,
Inyo,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Race/ethnicity,Hispanic,All ages,138,3.1,
Kings,2016,Race/ethnicity,Hispanic,All ages,33,3.5,
Lake,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Race/ethnicity,Hispanic,All ages,"2,775",5.7,
Madera,2016,Race/ethnicity,Hispanic,All ages,66,6,
Marin,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Race/ethnicity,Hispanic,All ages,0,0,
Mendocino,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Race/ethnicity,Hispanic,All ages,76,5,
Modoc,2016,Race/ethnicity,Hispanic,All ages,0,0,
Mono,2016,Race/ethnicity,Hispanic,All ages,0,0,
Monterey,2016,Race/ethnicity,Hispanic,All ages,97,4,
Napa,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Race/ethnicity,Hispanic,All ages,346,3,
Placer,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Race/ethnicity,Hispanic,All ages,409,3.5,
Sacramento,2016,Race/ethnicity,Hispanic,All ages,161,4.5,
San Benito,2016,Race/ethnicity,Hispanic,All ages,14,4,
San Bernardino,2016,Race/ethnicity,Hispanic,All ages,551,4.8,
San Diego,2016,Race/ethnicity,Hispanic,All ages,501,4.1,
San Francisco,2016,Race/ethnicity,Hispanic,All ages,111,8.9,
San Joaquin,2016,Race/ethnicity,Hispanic,All ages,100,3.2,
San Luis Obispo,2016,Race/ethnicity,Hispanic,All ages,20,3.2,
San Mateo,2016,Race/ethnicity,Hispanic,All ages,55,3,
Santa Barbara,2016,Race/ethnicity,Hispanic,All ages,69,3,
Santa Clara,2016,Race/ethnicity,Hispanic,All ages,229,4.4,
Santa Cruz,2016,Race/ethnicity,Hispanic,All ages,16,1.4,
Shasta,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Race/ethnicity,Hispanic,All ages,19,1.5,
Sonoma,2016,Race/ethnicity,Hispanic,All ages,37,2.7,
Stanislaus,2016,Race/ethnicity,Hispanic,All ages,82,3.4,
Sutter,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Race/ethnicity,Hispanic,All ages,0,0,
Tulare,2016,Race/ethnicity,Hispanic,All ages,122,3.7,
Tuolumne,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Race/ethnicity,Hispanic,All ages,86,2.4,
Yolo,2016,Race/ethnicity,Hispanic,All ages,29,4,
Yuba,2016,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,Asian/PI,All ages,"1,690",3.4,
Alameda,2016,Race/ethnicity,Asian/PI,All ages,148,3.6,
Alpine,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Amador,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Colusa,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Contra Costa,2016,Race/ethnicity,Asian/PI,All ages,64,3.9,
Del Norte,2016,Race/ethnicity,Asian/PI,All ages,0,0,
El Dorado,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Fresno,2016,Race/ethnicity,Asian/PI,All ages,59,6.6,
Glenn,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Humboldt,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Imperial,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kings,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Lake,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Los Angeles,2016,Race/ethnicity,Asian/PI,All ages,467,3.4,
Madera,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Mendocino,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Mono,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016,Race/ethnicity,Asian/PI,All ages,12,5.2,
Napa,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Orange,2016,Race/ethnicity,Asian/PI,All ages,169,3.1,
Placer,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Riverside,2016,Race/ethnicity,Asian/PI,All ages,33,2.8,
Sacramento,2016,Race/ethnicity,Asian/PI,All ages,107,5.1,
San Benito,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Race/ethnicity,Asian/PI,All ages,36,2.8,
San Diego,2016,Race/ethnicity,Asian/PI,All ages,96,2.8,
San Francisco,2016,Race/ethnicity,Asian/PI,All ages,82,3.9,
San Joaquin,2016,Race/ethnicity,Asian/PI,All ages,41,4.2,
San Luis Obispo,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2016,Race/ethnicity,Asian/PI,All ages,66,3.4,
Santa Barbara,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2016,Race/ethnicity,Asian/PI,All ages,194,3.2,
Santa Cruz,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Siskiyou,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Solano,2016,Race/ethnicity,Asian/PI,All ages,18,2.4,
Sonoma,2016,Race/ethnicity,Asian/PI,All ages,12,7.5,
Stanislaus,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sutter,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Trinity,2016,Race/ethnicity,Asian/PI,All ages,0,0,
Tulare,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2016,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,AI/AN,All ages,41,3,
Alameda,2016,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Alpine,2016,Race/ethnicity,AI/AN,All ages,0,0,
Amador,2016,Race/ethnicity,AI/AN,All ages,0,0,
Butte,2016,Race/ethnicity,AI/AN,All ages,0,0,
Calaveras,2016,Race/ethnicity,AI/AN,All ages,0,0,
Colusa,2016,Race/ethnicity,AI/AN,All ages,0,0,
Contra Costa,2016,Race/ethnicity,AI/AN,All ages,0,0,
Del Norte,2016,Race/ethnicity,AI/AN,All ages,0,0,
